"SDG","SDG target","SDG indicator","Indicator Code","Indicator name","Geographical area code","Geographical area name","Year","Value","Time detail","Source","Footnote","Type of data","Units","Age group","Bounds","Frequency","Level/Status","Location","Type of reporting","Sex","SDG 6 Data portal level"
"","","6.1.1","","Drinking water,At least basic service","","Benin","2022","67.360269806167","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Botswana","2022","92.567561987843","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Burundi","2022","62.440975490777","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Cameroon","2022","69.592552640931","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Cabo Verde","2022","89.870724605246","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Cayman Islands","2022","95.497852760736","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","China","2022","97.646929553253","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Cook Islands","2022","99.971610217301","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Cuba","2022","94.652703915621","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Trinidad and Tobago","2022","98.875170769231","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Seychelles","2022","96.418843558986","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Somalia","2022","58.259503074423","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","South Africa","2022","94.492089351148","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","South Sudan","2022","41.186592846362","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Tokelau","2022","99.707676654073","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Thailand","2022","100","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Syrian Arab Republic","2022","94.077932983395","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Eswatini","2022","73.467201921396","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Sudan","2022","64.920075323352","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Saudi Arabia","2022","98.649758215781","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","United Arab Emirates","2022","100","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Türkiye","2022","97.026188244527","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Egypt","2022","98.76885789947","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Burkina Faso","2022","49.505874164876","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Venezuela (Bolivarian Republic of)","2022","93.33161098943","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Uruguay","2022","99.507980615195","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Yemen","2022","61.758243702923","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Zambia","2022","68.247806502708","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Namibia","2022","85.912114395379","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Liberia","2022","75.61013151653","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Maldives","2022","99.558346084623","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Libya","2022","99.891523798782","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","sdg","Australia and New Zealand","2022","99.974735790217","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Mauritania","2022","77.811258687704","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Mauritius","2022","99.999999549095","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Montserrat","2022","98.077482622079","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Mozambique","2022","63.195365754108","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Kenya","2022","62.8617775763","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Vanuatu","2022","91.33751629484","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Niger","2022","48.896070488521","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Marshall Islands","2022","85.063739958671","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Panama","2022","94.651565298323","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Papua New Guinea","2022","50.23518094349","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Timor-Leste","2022","87.018635991873","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Rwanda","2022","65.100878070492","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Saint Lucia","2022","96.888660581692","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
