"SDG","SDG target","SDG indicator","Indicator Code","Indicator name","Geographical area code","Geographical area name","Year","Value","Time detail","Source","Footnote","Type of data","Units","Age group","Bounds","Frequency","Level/Status","Location","Type of reporting","Sex","SDG 6 Data portal level"
"","","6.1.1","","Drinking water,Total","","Puerto Rico","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Timor-Leste","2022","88.93020689364","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Papua New Guinea","2022","52.648542016062","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Paraguay","2022","99.999998473388","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Peru","2022","95.391315499157","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Philippines","2022","97.700440905444","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Poland","2022","90.369580095921","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Guinea-Bissau","2022","76.647925214232","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Portugal","2022","99.260409015251","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Panama","2022","96.49896538044","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Pakistan","2022","95.071988131544","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Palau","2022","99.570449439457","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Niue","2022","97.010876178329","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Norway","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Northern Mariana Islands","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Marshall Islands","2022","96.131929829931","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Niger","2022","68.529255835549","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Nigeria","2022","83.941488311667","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Bonaire, Sint Eustatius and Saba","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","New Caledonia","2022","99.53867298817","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Vanuatu","2022","91.861607859499","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","New Zealand","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Netherlands","2022","99.999997436831","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Nepal","2022","95.410175677613","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Morocco","2022","89.052388594096","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Mozambique","2022","72.986447583605","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Oman","2022","99.740653472001","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Namibia","2022","93.015855447379","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Montserrat","2022","98.077482622079","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Mauritania","2022","86.726758374731","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Mauritius","2022","99.999999549095","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Mexico","2022","99.706429445875","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Monaco","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Montenegro","2022","99.414816270512","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Republic of Moldova","2022","93.568924707239","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Mongolia","2022","90.696648535668","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Martinique","2022","99.716206115051","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Mali","2022","88.302159238975","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Malta","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Malaysia","2022","97.508196068996","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Maldives","2022","99.60569461747","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","China, Macao Special Administrative Region","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Madagascar","2022","57.982472243128","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Malawi","2022","92.730163366952","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Luxembourg","2022","99.885947833848","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Lithuania","2022","98.039401666363","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Liechtenstein","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Liberia","2022","85.5872690993","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Libya","2022","99.891523798782","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Latvia","2022","99.578262269932","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Lebanon","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Lesotho","2022","84.605642546855","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Lao People's Democratic Republic","2022","88.955764474127","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Kyrgyzstan","2022","93.661356693824","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Democratic People's Republic of Korea","2022","94.573434945563","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Republic of Korea","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Kuwait","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Japan","2022","99.136742172407","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Jordan","2022","99.113337264004","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Kenya","2022","71.5196116166","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Côte d'Ivoire","2022","81.101450607255","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Jamaica","2022","96.428547014289","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Iraq","2022","99.263912045344","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Ireland","2022","95.991405039807","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Italy","2022","99.917034074093","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Israel","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Iran (Islamic Republic of)","2022","99.606753414024","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Indonesia","2022","94.973185317342","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","India","2022","97.478011319401","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Hungary","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Iceland","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","China, Hong Kong Special Administrative Region","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Honduras","2022","96.863853985993","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Haiti","2022","77.12901813644","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Guyana","2022","98.328375228987","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Guatemala","2022","95.646546752559","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Guinea","2022","83.616034445084","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Guam","2022","99.6952","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Guadeloupe","2022","99.887332872723","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Greenland","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Greece","2022","99.999999492205","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Kiribati","2022","79.993684462248","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Gibraltar","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Ghana","2022","94.304498685234","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Germany","2022","99.999998556882","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Gambia","2022","91.555664943212","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Georgia","2022","97.71569438218","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Djibouti","2022","90.93558083868","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
